"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2024";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"21.008.352,43";"20.012.132,51";"19.688.592,86";"1.374.046,71";
"01/2024";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"145.014.979,68";"9.770.254,28";"1.914.646,93";"15.947.163,40";
"03/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"- 372.760,20";"10.746.893,79";"9.431.315,73";"1.225.488,19";
"07/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"2.948.162,66";"11.551.680,49";"110.791.192,72";"1.406,07";
"04/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.034.432.054,15";"210.344.419,26";"211.084.764,40";"474.901,92";
"02/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"- 761.670,49";"9.843.389,97";"9.781.034,16";"1.420.010,82";
"01/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"120.955.142,47";"8.744.487,91";"1.768.664,43";"10.638.802,63";
"06/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"5.675.448,01";"113.104.022,56";"10.515.362,75";"740.542,68";
"05/2024";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.278.611,12";"210.208.069,74";"210.251.297,17";"1.565.481,78";
"05/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"7.437.822.516,02";"7.464.256.538,23";"7.458.538.787,93";"1.216.686,27";
"01/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"297.550.805,85";"24.297.310,52";"4.621.231,22";"3.393.389.372,96";
"02/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"5.079.449.348,43";"5.097.272.911,37";"5.056.725.468,52";"3.158.838.537,45";
"04/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.308.953.686,05";"3.320.937.527,24";"3.318.083.216,71";"7.209.537,08";
"06/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.172.798.959,13";"903.961.145,67";"897.442.501,21";"1.211.656,34";
"03/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.268.369.404,96";"3.288.208.344,51";"3.326.127.098,16";"3.480.673,59";
"07/2024";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.005.253.951,55";"2.485.323.153,21";"2.480.827.553,24";"2.102.921,71";
"06/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"60.971.998,89";"51.857.075,14";"45.717.706,83";"2.094.104,37";
"04/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"147.814.004,06";"43.343.098,12";"44.171.698,84";"7.527.989,84";
"07/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"156.342.949,63";"44.498.684,55";"45.462.081,08";"275.348,76";
"01/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"122.092.365,16";"35.806.701,35";"6.916.720,56";"46.748.046,55";
"02/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"21.745.533,27";"39.567.902,30";"34.782.681,44";"9.969.357,93";
"03/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"18.856.249,23";"43.593.116,78";"43.128.809,56";"1.903.767,36";
"05/2024";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"28.661.038,44";"45.289.047,89";"44.108.404,25";"1.590.589,90";
"07/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 1.137.998,08";"35.502.986,67";"50.094.559,60";"30.400,64";
"04/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"30.773.811,33";"47.202.630,88";"42.391.955,68";"1.752.344,70";
"06/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"56.825.782,75";"50.113.257,25";"49.845.319,82";"41.064,11";
"02/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"34.504.300,66";"60.784.414,97";"33.564.936,26";"7.490.792,44";
"05/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"333.005,35";"55.688.780,48";"48.947.255,59";"637.487,63";
"03/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"11.091.268,22";"41.037.754,03";"61.125.160,97";"1.532.152,80";
