"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.949.152.327,83";"2.061.936.443,54";"2.034.925.331,52";"188.464.807,49";
"03/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.587.978.834,08";"1.906.214.609,85";"1.861.885.360,09";"225.903.459,39";
"07/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"1.453.327.903,72";"2.161.843.939,01";"2.877.099.154,50";"107.012.719,62";
"06/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"3.841.280.833,18";"3.175.882.981,93";"2.436.596.626,94";"233.089.746,21";
"01/2024";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"1.940.225.658,83";"1.810.174.089,68";"33.683.228,49";"1.476.631.307,76";
"04/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"305.335.728,31";"2.441.384.368,32";"2.366.558.740,81";"125.472.794,73";
"07/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"243.474.998,16";"2.562.274.216,94";"2.881.302.953,11";"60.357.708,96";
"05/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"1.063.043.006,04";"2.362.872.265,26";"2.426.832.060,66";"92.525.310,02";
"03/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"320.808.171,54";"2.223.445.231,17";"2.242.987.656,24";"164.584.026,82";
"01/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"27.331.053.795,11";"2.282.212.520,95";"674.874.728,86";"1.746.056.915,66";
"02/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"259.164.294,57";"2.163.142.682,15";"2.155.359.282,63";"141.487.977,11";
"06/2024";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"1.420.226.691,21";"3.437.243.787,43";"2.632.081.661,65";"89.276.204,37";
"03/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"406.789.031,44";"4.036.541.204,84";"3.815.260.796,92";"197.788.621,54";
"05/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"1.241.749.363,85";"3.964.894.703,63";"3.942.261.714,20";"281.452.337,41";
"07/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"542.148.366,23";"4.132.858.213,07";"4.816.811.678,45";"178.071.642,98";
"04/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"104.487.645,49";"3.949.622.360,41";"4.085.083.936,22";"270.168.722,49";
"06/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"827.519.856,76";"5.655.043.044,33";"4.014.129.707,95";"190.363.292,00";
"02/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"655.514.857,27";"3.782.818.348,75";"3.871.637.110,34";"305.687.479,20";
"01/2024";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"48.859.881.577,98";"3.884.744.269,52";"957.443.566,65";"3.190.260.980,40";
"05/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"3.277.599,10";"17.301.447,68";"18.176.954,99";"1.004.670,58";
"04/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"12.154.495,25";"17.028.443,60";"16.975.960,96";"436.440,62";
"07/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"2.486.256,54";"14.438.069,26";"16.443.879,09";"961.603,17";
"03/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"793.300,35";"17.180.160,84";"17.352.292,77";"423.648,99";
"02/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"8.134.638,35";"15.895.180,00";"12.624.124,88";"7.385.610,61";
"06/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"319.317,18";"19.593.371,19";"16.136.022,79";"190.571,47";
"01/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"204.580.771,01";"16.108.306,29";"2.711.840,23";"17.034.977,62";
"05/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"16.251.336,65";"79.415.327,84";"78.036.380,62";"13.349.769,63";
"01/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"846.195.292,89";"63.630.815,98";"16.520.725,67";"74.916.502,50";
"03/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"21.663.828,98";"71.960.960,92";"70.448.885,62";"15.970.347,67";
"06/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"16.098.373,03";"99.361.756,57";"78.841.768,51";"9.508.470,33";
"07/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"21.293.802,32";"81.795.353,85";"83.490.204,34";"7.222.268,76";
"02/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"15.899.077,38";"67.532.071,18";"67.066.102,93";"17.703.701,51";
"04/2024";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20301 - Comissão Nacional de Energia Nuclear";"143.494.524,36";"75.920.870,43";"75.032.852,45";"19.966.280,28";
"06/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"131.664.445,98";"105.559.905,49";"99.610.759,57";"6.569.130,19";
"01/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"45.267.781,18";"42.770.121,79";"10.676.779,39";"84.333.980,21";
"04/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"152.306.911,36";"111.860.623,39";"108.249.369,90";"8.002.838,21";
"07/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"123.014.200,73";"94.078.749,13";"106.582.099,58";"3.458.147,43";
"05/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"100.360.035,43";"106.356.325,33";"101.224.134,22";"7.169.830,77";
"03/2024";"56000 - Ministério das Cidades";"29214 - Companhia Brasileira de Trens Urbanos";"107.971.546,78";"92.857.164,60";"93.440.688,86";"14.628.951,31";
